title,author,runtime,release_date,list_number
The 7 Habits of Highly Effective People,Stephen R. Covey,13 hrs and 4 mins,12-28-03,80
Rich Dad Poor Dad: 20th Anniversary Edition,Robert T. Kiyosaki,8 hrs and 22 mins,05-14-19,81
Crown of Midnight,Sarah J. Maas,12 hrs and 43 mins,01-28-21,82
How to Talk to Anyone,Leil Lowndes,8 hrs and 59 mins,09-01-15,83
Queen of Shadows,Sarah J. Maas,20 hrs and 43 mins,09-01-15,84
The Power of Now,Eckhart Tolle,7 hrs and 37 mins,12-31-00,85
Heir of Fire,Sarah J. Maas,17 hrs and 56 mins,09-02-21,86
Hello Beautiful,Ann Napolitano,15 hrs and 6 mins,03-14-23,87
A Little Life,Hanya Yanagihara,32 hrs and 51 mins,11-01-22,88
Mad Honey,"Jodi Picoult, Jennifer Finney Boylan",15 hrs and 12 mins,10-04-22,89
The Fellowship of the Ring,J. R. R. Tolkien,22 hrs and 38 mins,09-16-21,90
Determined,Robert M. Sapolsky,16 hrs and 39 mins,10-17-23,91
Build the Life You Want,"Arthur C. Brooks, Oprah Winfrey",5 hrs and 54 mins,09-12-23,92
The Outsider,Stephen King,18 hrs and 41 mins,05-22-18,93
Before Your Memory Fades,Toshikazu Kawaguchi,6 hrs and 30 mins,11-15-22,94
Murtagh,Christopher Paolini,24 hrs and 32 mins,11-07-23,95
Never Lie,Freida McFadden,7 hrs and 21 mins,11-08-22,96
Hábitos atómicos,James Clear,9 hrs and 1 min,09-30-20,97
The Alchemist,Paulo Coelho,4 hrs,12-26-04,98
House of Sky and Breath,Sarah J. Maas,27 hrs and 42 mins,02-15-22,99
The Way of Kings,Brandon Sanderson,45 hrs and 30 mins,08-31-10,100
